year,week,Ajdovščina,Brežice,Celje,Cerknica,Črnomelj,Domžale,Dravograd,Gornja Radgona,Grosuplje,Hrastnik,Idrija,Ilirska Bistrica,Izola,Jesenice,Kamnik,Kočevje,Koper,Kranj,Krško,Laško,Lenart,Lendava,Litija,Ljubljana,Ljutomer,Logatec,Maribor,Metlika,Mozirje,Murska Sobota,Nova Gorica,Novo mesto,Ormož,Pesnica,Piran,Postojna,Ptuj,Radlje ob Dravi,Radovljica,Ravne na Koroškem,Ribnica,Ruše,Šentjur pri Celju,Sevnica,Sežana,Škofja Loka,Slovenj Gradec,Slovenska Bistrica,Slovenske Konjice,Šmarje pri Jelšah,Tolmin,Trbovlje,Trebnje,Tržič,Velenje,Vrhnika,Zagorje ob Savi,Žalec
2011,2,11,9,28,1,2,7,5,1,6,2,2,2,12,9,1,2,4,11,5,6,1,4,1,83,2,1,52,3,1,17,15,26,1,1,6,4,20,3,6,7,0,1,2,2,5,2,14,4,1,3,3,9,2,3,11,4,4,9
2011,3,2,9,21,1,2,6,0,1,4,2,6,4,13,11,2,2,5,18,3,1,1,4,4,86,1,3,45,2,4,29,12,17,2,2,7,2,24,1,8,3,1,1,4,6,3,7,7,6,0,3,4,8,1,1,12,4,2,4
2011,4,1,15,23,4,3,5,1,2,4,0,2,2,14,10,3,3,5,11,1,0,2,3,1,79,4,3,35,1,3,27,20,22,3,4,1,3,19,4,9,1,2,6,3,5,5,8,11,3,4,3,2,5,2,3,13,2,1,6
2011,5,4,7,20,4,2,6,3,3,4,1,3,4,15,11,4,1,3,14,1,0,1,4,5,71,4,5,46,1,1,27,20,10,3,1,4,4,14,2,4,2,1,0,1,2,5,5,9,7,2,5,9,4,2,2,15,3,4,4
2011,6,4,9,20,2,3,0,1,2,2,1,2,3,8,12,2,3,3,27,3,2,2,2,1,88,1,0,46,0,4,26,12,16,2,3,3,1,13,2,6,3,2,0,2,2,4,4,16,4,0,4,0,6,2,2,5,4,2,5
2011,7,1,5,24,1,0,7,1,7,2,1,1,1,7,13,8,3,3,13,0,4,2,1,2,85,3,1,58,0,2,25,18,25,3,1,2,2,21,1,2,5,2,2,2,1,3,3,16,5,3,4,4,3,1,3,13,2,2,7
2011,8,3,5,16,2,0,4,0,4,5,2,3,1,13,7,3,3,3,16,2,3,3,0,2,86,2,1,52,0,0,24,28,18,0,2,5,2,18,3,2,2,3,0,4,6,4,4,7,4,2,3,2,5,1,1,13,1,1,3
2011,9,4,14,19,2,2,6,0,5,8,1,3,3,14,11,3,2,2,8,0,0,1,2,4,90,2,1,41,1,2,22,14,19,0,2,0,2,7,1,5,6,2,2,5,1,6,3,8,5,3,3,3,6,2,3,6,3,3,4
2011,10,2,7,25,2,3,6,0,5,6,0,6,2,10,12,3,3,6,13,2,2,1,4,3,75,4,1,53,1,4,22,26,23,1,1,2,1,18,1,4,2,4,2,1,4,2,3,13,4,1,3,2,5,2,2,8,2,3,7
2011,11,5,10,30,2,0,4,1,2,4,2,3,2,7,11,3,2,4,10,4,1,3,2,2,77,3,1,48,1,0,24,15,20,3,4,1,2,10,2,1,1,2,0,5,2,8,2,15,2,3,8,4,5,3,0,9,1,2,1
2011,12,4,13,20,1,2,1,0,2,2,0,2,0,17,9,2,1,6,19,6,0,1,8,5,74,2,3,37,0,1,26,22,17,1,3,2,1,11,2,3,1,0,0,3,4,3,2,8,5,0,7,5,4,1,0,14,4,4,3
2011,13,1,6,15,0,2,1,0,9,0,2,4,0,12,8,3,2,9,11,4,4,1,3,1,83,2,2,38,0,3,23,18,14,0,3,0,1,20,5,2,4,5,0,2,1,3,5,10,1,2,6,2,3,1,5,11,2,4,2
2011,14,2,10,21,4,1,3,0,2,5,1,2,5,9,10,2,0,5,10,3,0,3,4,2,82,3,0,40,1,2,14,11,23,2,1,0,2,15,2,3,1,2,1,3,4,3,5,9,1,2,4,0,7,2,1,4,2,4,8
2011,15,1,4,28,2,2,4,2,3,3,2,2,4,10,12,3,4,2,13,2,0,6,4,2,61,1,1,40,2,3,19,9,23,2,1,2,1,19,3,2,3,3,5,2,3,5,0,10,3,2,3,2,3,2,1,7,2,0,5
2011,16,0,13,20,5,2,1,1,4,1,0,1,4,15,9,4,2,6,13,3,3,1,2,4,76,0,4,43,1,8,20,23,17,1,1,0,5,15,1,4,0,4,2,2,2,6,3,10,2,1,2,3,7,3,0,12,1,1,5
2011,17,2,10,17,1,1,4,0,4,5,2,1,6,14,11,5,3,7,11,2,3,2,7,0,70,1,1,45,3,2,17,13,13,0,4,2,3,15,1,5,6,1,1,2,1,1,6,9,3,5,5,3,3,1,1,12,2,0,4
2011,18,3,8,18,3,0,5,1,3,8,0,1,4,10,11,1,1,3,10,4,6,4,5,1,75,1,1,35,1,5,22,21,17,1,1,0,1,20,0,6,2,1,0,2,1,6,3,5,4,2,7,4,6,0,2,11,2,2,8
2011,19,5,6,19,0,3,1,3,2,5,0,2,1,14,10,2,0,3,15,1,4,4,0,2,72,3,4,34,0,3,27,13,10,3,2,2,6,14,0,4,3,0,0,0,2,4,7,7,4,1,3,1,11,1,2,13,2,3,6
2011,20,1,8,20,1,3,2,0,0,3,1,2,4,17,3,1,0,1,20,2,1,0,3,1,77,2,0,40,1,4,10,17,16,2,1,1,2,16,1,1,1,0,0,0,1,1,3,5,4,2,0,2,7,2,2,7,0,2,7
2011,21,2,5,12,3,3,6,2,2,4,1,0,0,8,6,3,4,1,14,1,1,1,4,1,87,3,1,43,1,4,18,14,25,0,2,1,0,10,1,3,2,0,3,1,0,1,1,7,3,0,2,4,2,2,0,5,1,2,6
2011,22,1,8,16,2,3,4,1,6,2,0,1,1,11,10,3,2,4,13,0,3,0,3,3,84,3,5,39,1,5,14,8,14,1,3,2,5,20,0,4,2,1,1,2,5,4,4,6,3,1,4,2,7,4,1,8,2,3,6
2011,23,1,8,11,5,1,6,0,0,6,1,0,4,7,7,3,1,2,8,1,1,3,4,1,67,2,4,36,2,2,30,11,12,2,2,1,1,10,2,3,3,4,0,3,4,1,2,6,5,2,0,2,6,3,2,9,1,3,4
2011,24,6,8,21,1,2,4,1,4,4,1,3,2,11,5,1,3,4,13,6,5,3,0,1,66,1,4,57,2,3,17,13,10,0,1,2,4,8,2,2,5,5,2,1,2,8,4,6,1,1,1,1,2,0,1,9,3,4,3
2011,25,1,4,17,3,2,4,2,0,6,0,4,2,9,8,1,4,3,11,2,7,1,5,4,60,3,0,39,1,7,16,11,12,1,3,0,1,12,0,4,3,7,1,1,1,2,4,11,4,1,3,2,8,2,0,7,3,5,1
2011,26,0,9,15,2,3,2,1,6,4,0,1,4,12,12,4,1,2,13,0,1,2,5,4,76,1,2,45,0,3,22,8,9,7,0,1,0,16,0,6,1,1,2,3,3,4,2,7,1,2,5,3,4,2,1,13,0,4,4
2011,27,3,4,25,2,1,3,0,0,4,2,3,0,12,5,2,1,1,14,0,2,3,5,1,71,1,0,42,1,3,17,11,19,1,2,0,2,14,2,4,2,1,1,0,4,5,3,8,0,2,3,7,4,2,1,9,2,0,5
2011,28,1,7,16,3,3,10,1,3,3,0,1,2,9,8,2,3,5,11,2,4,1,3,3,88,5,2,40,0,2,22,8,17,1,2,0,0,17,0,8,0,3,0,1,2,4,2,11,2,1,2,2,7,1,2,11,1,5,1
2011,29,1,8,22,1,2,6,2,3,4,0,1,2,11,10,2,2,3,13,2,1,0,6,1,86,2,0,35,1,2,18,8,27,2,1,1,1,7,2,5,3,0,1,1,2,3,2,7,3,2,5,8,6,2,0,6,0,4,4
2011,30,1,7,19,3,1,3,3,1,5,1,2,3,7,8,1,1,2,19,4,0,2,2,5,65,0,1,33,1,2,18,18,13,4,1,0,3,7,0,3,2,1,1,2,2,6,1,3,2,1,1,3,5,0,0,8,4,2,3
2011,31,3,8,23,3,2,5,2,2,5,1,5,4,11,11,3,0,5,5,2,2,3,1,0,68,2,1,35,0,3,16,13,12,2,0,0,6,15,3,6,5,0,3,0,2,2,3,10,1,4,5,2,6,2,1,16,1,1,5
2011,32,1,7,20,1,2,5,3,2,2,1,1,0,9,8,1,2,3,11,3,3,2,2,1,82,1,1,29,0,3,19,12,13,4,3,1,3,22,0,3,2,2,0,0,2,7,4,2,4,2,2,4,5,2,1,7,1,1,5
2011,33,2,10,17,6,1,5,2,3,1,0,2,5,15,8,2,2,2,16,2,1,6,6,0,85,7,2,37,1,6,22,13,13,0,0,5,4,19,1,9,2,3,1,2,1,3,1,10,4,2,3,5,6,0,0,9,1,4,4
2011,34,4,5,27,3,4,5,1,2,3,0,2,3,17,8,1,2,5,25,2,0,1,2,1,70,2,2,25,0,0,19,16,14,1,5,1,3,21,3,6,0,4,0,1,3,3,5,10,5,2,2,4,6,4,2,12,4,2,2
2011,35,3,13,21,3,0,5,0,1,1,2,2,0,19,12,5,2,7,13,2,3,3,4,2,79,4,1,31,0,1,13,17,15,2,0,0,2,18,3,3,1,2,0,4,1,1,3,4,5,0,1,4,4,4,1,15,2,1,2
2011,36,2,9,18,0,0,5,0,1,3,2,2,4,10,11,0,0,4,14,2,0,5,5,1,85,2,5,29,1,0,26,15,13,2,2,1,4,10,1,3,2,2,1,6,1,1,1,10,5,2,4,1,2,1,1,12,1,1,2
2011,37,2,8,29,2,5,5,0,1,2,4,0,1,13,12,3,1,2,11,2,3,3,5,1,73,2,4,42,2,4,23,10,21,1,0,1,5,13,1,6,2,3,0,3,0,1,2,6,4,2,9,4,0,0,1,9,3,4,2
2011,38,3,8,19,1,2,6,0,2,4,1,2,1,10,8,1,4,2,11,2,1,0,2,3,80,1,2,37,0,2,13,15,17,4,2,2,2,14,2,2,2,3,0,2,4,3,1,10,6,2,3,3,7,3,1,12,0,1,0
2011,39,1,8,20,2,0,5,1,5,1,1,2,1,9,12,2,2,4,10,4,0,2,3,3,79,0,1,37,3,0,14,12,12,0,2,2,1,13,1,4,1,2,0,1,2,4,2,8,1,2,1,6,8,1,2,6,3,1,5
2011,40,0,13,32,4,2,3,1,3,1,1,1,1,12,9,3,1,8,10,0,3,2,3,3,74,1,2,44,0,3,19,6,15,2,1,1,2,14,3,6,5,3,1,2,4,3,4,9,3,1,1,2,4,1,2,7,4,2,4
2011,41,3,2,25,0,1,7,1,5,3,0,2,1,10,8,3,1,4,22,1,0,2,1,3,78,2,0,44,2,2,20,13,18,1,0,2,1,17,1,9,3,0,0,1,2,1,4,8,4,1,5,1,6,2,0,6,3,1,3
2011,42,2,5,27,2,1,6,0,5,5,3,1,3,7,5,5,4,5,13,1,3,5,5,2,72,1,0,49,2,0,21,21,23,2,3,0,3,10,1,2,1,3,3,1,0,5,6,9,5,2,6,3,8,0,0,11,4,0,2
2011,43,2,6,21,1,1,1,2,4,3,0,0,0,11,8,2,2,6,13,4,4,5,2,1,74,3,1,62,0,5,21,15,11,8,3,1,1,14,3,4,1,2,0,2,4,3,3,6,2,2,1,1,6,3,1,8,2,2,1
2011,44,0,5,22,2,3,3,2,0,4,4,2,1,14,11,1,4,5,15,6,3,3,3,1,75,1,0,37,1,5,26,19,15,1,1,6,2,18,0,1,4,8,2,0,2,3,5,13,10,3,3,6,3,0,1,7,1,1,5
2011,45,2,5,21,1,0,3,0,3,4,1,4,1,9,6,1,1,5,11,2,3,0,2,8,78,2,2,33,1,2,20,17,14,3,5,4,0,19,3,3,3,4,0,1,5,2,3,15,7,2,4,4,3,1,0,10,3,1,5
2011,46,1,7,11,2,4,2,1,2,4,2,2,3,16,10,1,3,4,17,2,1,1,0,0,78,2,3,42,1,0,20,17,14,2,2,0,4,14,1,5,2,3,2,1,5,3,4,14,4,0,3,5,9,0,2,7,3,0,6
2011,47,1,7,22,2,0,2,1,3,5,1,1,4,16,10,4,2,6,4,0,2,5,5,1,69,1,3,47,1,4,23,14,12,2,2,4,1,22,5,1,6,4,1,3,1,2,4,3,4,7,4,5,6,3,0,11,4,2,6
2011,48,5,3,16,0,2,6,2,4,3,1,3,4,14,9,3,0,8,15,3,5,1,6,2,70,1,4,46,0,3,16,10,13,1,0,0,1,15,0,8,0,3,4,2,3,8,3,10,5,2,3,4,3,4,1,10,3,0,3
